fname,itp,tp_prob,its,ts_prob
SC.PWU_20180317180455.mseed_0,[2944],[0.312977],[],[]
SC.PWU_20180317180455.mseed_3000,[39],[0.481305],[432],[0.89036]
SC.PWU_20180317180455.mseed_6000,[],[],[],[]
SC.PWU_20180317180455.mseed_9000,[],[],[],[]
SC.PWU_20180317180455.mseed_12000,[1504],[0.934743],[1932],[0.857687]
SC.PWU_20180317180455.mseed_15000,[],[],[],[]
SC.PWU_20180503114228.mseed_0,[],[],[],[]
SC.PWU_20180503114228.mseed_3000,[16],[0.959043],[551],[0.849252]
SC.PWU_20180503114228.mseed_6000,[],[],[],[]
SC.PWU_20180503114228.mseed_9000,[],[],[],[]
SC.PWU_20180503114228.mseed_12000,[1515],[0.948487],[2051],[0.836725]
SC.PWU_20180503114228.mseed_15000,[],[],[],[]
SC.PWU_20180815193814.mseed_0,[],[],[],[]
SC.PWU_20180815193814.mseed_3000,[7],[0.605874],[828],[0.677745]
SC.PWU_20180815193814.mseed_6000,[],[],[],[]
SC.PWU_20180815193814.mseed_9000,[],[],[],[]
SC.PWU_20180815193814.mseed_12000,[1504],[0.968333],[2329],[0.669026]
SC.PWU_20180815193814.mseed_15000,[],[],[],[]
SC.JMG_20180918175946.mseed_0,[],[],[],[]
SC.JMG_20180918175946.mseed_3000,[],[],[754],[0.792934]
SC.JMG_20180918175946.mseed_6000,[],[],[],[]
SC.JMG_20180918175946.mseed_9000,[],[],[],[]
SC.JMG_20180918175946.mseed_12000,[1507],[0.829976],[2256],[0.812401]
SC.JMG_20180918175946.mseed_15000,[],[],[],[]
SC.WCH_20180630204543.mseed_0,[],[],[],[]
SC.WCH_20180630204543.mseed_3000,[12],[0.560636],[323],[0.72114]
SC.WCH_20180630204543.mseed_6000,[],[],[],[]
SC.WCH_20180630204543.mseed_9000,[],[],[],[]
SC.WCH_20180630204543.mseed_12000,[1502],[0.97163],[1822],[0.712884]
SC.WCH_20180630204543.mseed_15000,[],[],[],[]
SC.MDS_20180224175533.mseed_0,[],[],[],[]
SC.MDS_20180224175533.mseed_3000,[69],[0.516673],[],[]
SC.MDS_20180224175533.mseed_6000,[],[],[],[]
SC.MDS_20180224175533.mseed_9000,[],[],[],[]
SC.MDS_20180224175533.mseed_12000,[1513],[0.8261],[],[]
SC.MDS_20180224175533.mseed_15000,[],[],[439],[0.38446]
SC.MDS_20181017213356.mseed_0,[],[],[],[]
SC.MDS_20181017213356.mseed_3000,[],[],[],[]
SC.MDS_20181017213356.mseed_6000,[],[],[49],[0.497194]
SC.MDS_20181017213356.mseed_9000,[],[],[],[]
SC.MDS_20181017213356.mseed_12000,[1528],[0.712717],[],[]
SC.MDS_20181017213356.mseed_15000,[],[],[],[]
SC.YZP_20180114124143.mseed_0,[],[],[],[]
SC.YZP_20180114124143.mseed_3000,[7],[0.73322],[237],[0.611965]
SC.YZP_20180114124143.mseed_6000,[],[],[],[]
SC.YZP_20180114124143.mseed_9000,[],[],[],[]
SC.YZP_20180114124143.mseed_12000,[1503],[0.985945],[1731],[0.621159]
SC.YZP_20180114124143.mseed_15000,[],[],[],[]
SC.JZG_20181029021704.mseed_0,[],[],[],[]
SC.JZG_20181029021704.mseed_3000,[20],[0.849034],[533],[0.931962]
SC.JZG_20181029021704.mseed_6000,[],[],[],[]
SC.JZG_20181029021704.mseed_9000,[],[],[],[]
SC.JZG_20181029021704.mseed_12000,[1506],[0.9733],[2033],[0.919489]
SC.JZG_20181029021704.mseed_15000,[],[],[],[]
SC.GZA_20180907220731.mseed_0,[],[],[],[]
SC.GZA_20180907220731.mseed_3000,[1],[0.657954],[195],[0.964886]
SC.GZA_20180907220731.mseed_6000,[],[],[],[]
SC.GZA_20180907220731.mseed_9000,[],[],[],[]
SC.GZA_20180907220731.mseed_12000,[1505],[0.987395],[1695],[0.966253]
SC.GZA_20180907220731.mseed_15000,[],[],[],[]
SC.GZA_20181130222536.mseed_0,[],[],[],[]
SC.GZA_20181130222536.mseed_3000,[],[],[537],[0.91742]
SC.GZA_20181130222536.mseed_6000,[],[],[],[]
SC.GZA_20181130222536.mseed_9000,[],[],[],[]
SC.GZA_20181130222536.mseed_12000,[1499],[0.875578],[2036],[0.912108]
SC.GZA_20181130222536.mseed_15000,[],[],[],[]
SC.GZA_20181106142204.mseed_0,[],[],[],[]
SC.GZA_20181106142204.mseed_3000,[9],[0.659082],[597],[0.935563]
SC.GZA_20181106142204.mseed_6000,[],[],[],[]
SC.GZA_20181106142204.mseed_9000,[],[],[],[]
SC.GZA_20181106142204.mseed_12000,[1505],[0.956578],[2096],[0.915107]
SC.GZA_20181106142204.mseed_15000,[],[],[],[]
SC.PWU_20180217203656.mseed_0,[],[],[],[]
SC.PWU_20180217203656.mseed_3000,[11],[0.956922],[420],[0.899942]
SC.PWU_20180217203656.mseed_6000,[],[],[],[]
SC.PWU_20180217203656.mseed_9000,[],[],[],[]
SC.PWU_20180217203656.mseed_12000,[1510],[0.978498],[1920],[0.914997]
SC.PWU_20180217203656.mseed_15000,[],[],[],[]
SC.PWU_20181005010524.mseed_0,[],[],[],[]
SC.PWU_20181005010524.mseed_3000,[11],[0.981459],[388],[0.924108]
SC.PWU_20181005010524.mseed_6000,[1738],[0.905159],[2116],[0.758009]
SC.PWU_20181005010524.mseed_9000,[],[],[],[]
SC.PWU_20181005010524.mseed_12000,[1511],[0.979025],[1889],[0.921537]
SC.PWU_20181005010524.mseed_15000,[],[],[],[]
SC.JMG_20180225050111.mseed_0,[],[],[],[]
SC.JMG_20180225050111.mseed_3000,[8],[0.701819],[676 1427],[0.744896 0.501015]
SC.JMG_20180225050111.mseed_6000,[],[],[],[]
SC.JMG_20180225050111.mseed_9000,[],[],[],[]
SC.JMG_20180225050111.mseed_12000,[1504 2932],[0.963844 0.481258],[2178],[0.745612]
SC.JMG_20180225050111.mseed_15000,[],[],[51],[0.500836]
SC.WCH_20180210163208.mseed_0,[],[],[],[]
SC.WCH_20180210163208.mseed_3000,[18],[0.974961],[286],[0.90727]
SC.WCH_20180210163208.mseed_6000,[],[],[],[]
SC.WCH_20180210163208.mseed_9000,[],[],[],[]
SC.WCH_20180210163208.mseed_12000,[1520],[0.973657],[1788],[0.913605]
SC.WCH_20180210163208.mseed_15000,[],[],[],[]
SC.WCH_20180802051229.mseed_0,[],[],[],[]
SC.WCH_20180802051229.mseed_3000,[4],[0.807806],[265],[0.945163]
SC.WCH_20180802051229.mseed_6000,[],[],[],[]
SC.WCH_20180802051229.mseed_9000,[],[],[],[]
SC.WCH_20180802051229.mseed_12000,[1503],[0.987155],[1766],[0.946564]
SC.WCH_20180802051229.mseed_15000,[],[],[],[]
SC.MDS_20181119164626.mseed_0,[],[],[],[]
SC.MDS_20181119164626.mseed_3000,[3],[0.652701],[],[]
SC.MDS_20181119164626.mseed_6000,[],[],[],[]
SC.MDS_20181119164626.mseed_9000,[],[],[],[]
SC.MDS_20181119164626.mseed_12000,[1503],[0.929506],[2149],[0.434788]
SC.MDS_20181119164626.mseed_15000,[],[],[],[]
SC.ZJG_20181110121324.mseed_0,[],[],[],[]
SC.ZJG_20181110121324.mseed_3000,[12],[0.756665],[433],[0.61511]
SC.ZJG_20181110121324.mseed_6000,[],[],[],[]
SC.ZJG_20181110121324.mseed_9000,[],[],[],[]
SC.ZJG_20181110121324.mseed_12000,[1509],[0.964014],[1935],[0.595794]
SC.ZJG_20181110121324.mseed_15000,[],[],[],[]
SC.GZA_20180130223350.mseed_0,[2283],[0.313209],[],[]
SC.GZA_20180130223350.mseed_3000,[19],[0.859468],[562],[0.757817]
SC.GZA_20180130223350.mseed_6000,[2391],[0.372947],[],[]
SC.GZA_20180130223350.mseed_9000,[],[],[],[]
SC.GZA_20180130223350.mseed_12000,[1508],[0.941699],[2062],[0.744746]
SC.GZA_20180130223350.mseed_15000,[],[],[],[]
SC.GZA_20180515004436.mseed_0,[],[],[],[]
SC.GZA_20180515004436.mseed_3000,[],[],[],[]
SC.GZA_20180515004436.mseed_6000,[],[],[],[]
SC.GZA_20180515004436.mseed_9000,[],[],[],[]
SC.GZA_20180515004436.mseed_12000,[1505],[0.768472],[],[]
SC.GZA_20180515004436.mseed_15000,[],[],[1527],[0.302126]
SC.PWU_20180211210554.mseed_0,[],[],[],[]
SC.PWU_20180211210554.mseed_3000,[24],[0.842324],[461],[0.806645]
SC.PWU_20180211210554.mseed_6000,[],[],[],[]
