fname,itp,tp_prob,its,ts_prob
SC.WCH_20181213233252.mseed_3000,[],[],[],[]
SC.WCH_20181213233252.mseed_6000,[],[],[],[]
SC.JZG_20181027230736.mseed_6000,[],[],[],[]
SC.WCH_20181213233252.mseed_9000,[],[],[],[]
SC.PWU_20180822190558.mseed_12000,[1504],[0.968669],[2429],[0.571877]
SC.JZG_20181027230736.mseed_9000,[],[],[],[]
SC.JZG_20181027230736.mseed_12000,[1500],[0.981646],[1973],[0.778208]
SC.WCH_20181213233252.mseed_12000,[1501],[0.448069],[],[]
SC.PWU_20180822190558.mseed_15000,[],[],[],[]
SC.JZG_20181027230736.mseed_15000,[],[],[],[]
SC.AXI_20181210071409.mseed_12000,[1510],[0.956531],[2141],[0.732203]
SC.WCH_20181213233252.mseed_15000,[],[],[],[]
SC.WCH_20181010034433.mseed_0,[],[],[],[]
SC.AXI_20181210071409.mseed_15000,[],[],[],[]
SC.WCH_20181010034433.mseed_3000,[9],[0.792366],[426],[0.899966]
SC.WCH_20181010034433.mseed_6000,[533],[0.357329],[1697],[0.632185]
SC.JMG_20180502024618.mseed_0,[],[],[],[]
SC.WCH_20181010034433.mseed_9000,[],[],[],[]
SC.JMG_20180502024618.mseed_3000,[48],[0.73847],[676],[0.709108]
SC.JMG_20180502024618.mseed_6000,[],[],[],[]
SC.WCH_20181010034433.mseed_12000,[1509],[0.963861],[1926],[0.904833]
SC.JMG_20180502024618.mseed_9000,[],[],[],[]
SC.JMG_20180502024618.mseed_12000,[1502],[0.940198],[2182],[0.786799]
SC.WCH_20181010034433.mseed_15000,[2026],[0.48562],[],[]
SC.JMG_20180305073711.mseed_0,[],[],[],[]
SC.JMG_20180502024618.mseed_15000,[],[],[],[]
SC.JMG_20180305073711.mseed_3000,[10],[0.870143],[589],[0.634904]
SC.WCH_20180630054916.mseed_0,[],[],[],[]
SC.JMG_20180305073711.mseed_6000,[],[],[],[]
SC.WCH_20181010185729.mseed_0,[],[],[],[]
SC.WCH_20181010185729.mseed_3000,[],[],[345],[0.877669]
SC.JMG_20180103215154.mseed_0,[],[],[],[]
SC.WCH_20180630054916.mseed_3000,[],[],[545],[0.77379]
SC.JMG_20180410123127.mseed_0,[705],[0.748395],[1438],[0.784233]
SC.WCH_20181010185729.mseed_6000,[],[],[],[]
SC.GZA_20180815054824.mseed_0,[],[],[],[]
SC.GZA_20180815054824.mseed_3000,[22],[0.868485],[460],[0.755947]
SC.JMG_20180410123127.mseed_3000,[63],[0.871566],[1656],[0.684841]
SC.JMG_20180305073711.mseed_9000,[1491],[0.332701],[],[]
SC.WCH_20181010185729.mseed_9000,[],[],[],[]
SC.JMG_20180410123127.mseed_6000,[],[],[45],[0.650621]
SC.GZA_20180815054824.mseed_6000,[],[],[],[]
SC.JMG_20180103215154.mseed_3000,[7],[0.318316],[762],[0.855376]
SC.JMG_20180410123127.mseed_9000,[],[],[2940],[0.793665]
SC.GZA_20180815054824.mseed_9000,[],[],[],[]
SC.JMG_20180410123127.mseed_12000,[1500],[0.907746],[],[]
SC.WCH_20180630054916.mseed_6000,[],[],[],[]
SC.JMG_20180103215154.mseed_6000,[],[],[],[]
SC.JMG_20180305073711.mseed_12000,[1504],[0.962404],[2092],[0.64024]
SC.GZA_20180815054824.mseed_12000,[1522],[0.951038],[1960],[0.717829]
SC.WCH_20181010185729.mseed_12000,[1510],[0.827327],[1846],[0.901213]
SC.JZG_20181014043522.mseed_0,[],[],[],[]
SC.JMG_20180611005513.mseed_0,[],[],[],[]
SC.WCH_20181010185729.mseed_15000,[],[],[],[]
SC.WCH_20180630054916.mseed_9000,[],[],[],[]
SC.JZG_20181014043522.mseed_3000,[213],[0.460953],[1575],[0.323127]
SC.JMG_20180410123127.mseed_15000,[],[],[154],[0.686471]
SC.WCH_20180630054916.mseed_12000,[1501 2040],[0.660346 0.311251],[2047],[0.503582]
SC.JZG_20181014043522.mseed_6000,[],[],[],[]
SC.JMG_20180611005513.mseed_3000,[18],[0.881507],[701],[0.755024]
SC.WCH_20180630054916.mseed_15000,[],[],[],[]
SC.JMG_20180305073711.mseed_15000,[],[],[],[]
SC.GZA_20180815054824.mseed_15000,[],[],[],[]
